"37.187.65.250","62"
"37.187.81.8","64"
"5.39.111.9","62"
"37.187.81.8","64"
"5.39.111.9","62"
"37.187.81.8","64"
"5.39.111.9","62"
"37.187.81.8","64"
"5.39.111.9","62"
"37.187.81.8","64"
"5.39.111.9","62"
"37.187.81.8","64"
"5.39.111.9","62"
"37.187.81.8","64"
"37.187.65.250","62"
"37.187.81.8","64"
"5.39.111.9","62"
"37.187.81.8","64"
"5.39.111.9","62"
"37.187.81.8","64"
"5.39.111.9","62"
"37.187.81.8","64"
"5.39.111.9","62"
"37.187.81.8","64"
"5.39.111.9","62"
"37.187.81.8","64"
"5.39.111.9","62"
"37.187.81.8","64"
"5.39.111.9","62"
"37.187.81.8","64"
"37.187.65.250","62"
"37.187.81.8","64"
"5.39.111.9","62"
"37.187.81.8","64"
"89.68.224.153","53"
"37.187.81.8","64"
"89.68.224.153","53"
"89.68.224.153","53"
"37.187.81.8","64"
"37.187.81.8","64"
"89.68.224.153","53"
"37.187.81.8","64"
"89.68.224.153","53"
"89.68.224.153","53"
"37.187.81.8","64"
"89.68.224.153","53"
"37.187.81.8","64"
"89.68.224.153","53"
"37.187.81.8","64"
"89.68.224.153","53"
"37.187.81.8","64"
"37.187.81.8","64"
"89.68.224.153","53"
"37.187.81.8","64"
"37.187.81.8","64"
"37.187.81.8","64"
"199.7.83.42","57"
"199.7.83.42","57"
"37.187.81.8","64"
"199.212.0.73","54"
"37.187.81.8","64"
"37.187.81.8","64"
"37.187.81.8","64"
"37.187.81.8","64"
"37.187.81.8","64"
"37.187.81.8","64"
"37.187.81.8","64"
"37.187.81.8","64"
"37.187.81.8","64"
"37.187.81.8","64"
"37.187.81.8","64"
"37.187.81.8","64"
"37.187.81.8","64"
"199.7.91.13","59"
"199.7.91.13","59"
"199.7.91.13","59"
"199.7.91.13","59"
"37.187.81.8","64"
"199.7.91.13","59"
"199.7.91.13","59"
"37.187.81.8","64"
"199.7.91.13","59"
"199.7.91.13","59"
"37.187.81.8","64"
"199.7.91.13","59"
"199.7.91.13","59"
"199.7.91.13","59"
"37.187.81.8","64"
"37.187.81.8","64"
"199.7.91.13","59"
"37.187.81.8","64"
"199.7.91.13","59"
"37.187.81.8","64"
"37.187.81.8","64"
"37.187.81.8","64"
"37.187.81.8","64"
"37.187.81.8","64"
"37.187.81.8","64"
